Company Name,Country Founded,Year Founded,Revenue 2018,Revenue 2019,Revenue 2020,Net Income 2018,Net Income 2019,Net Income 2020,Industry
Grupo Bimbo,Mexico,1945,$13.4 billion,$13.8 billion,$13.6 billion,$0.9 billion,$1.0 billion,$1.0 billion,Bakery
Petróleos de México,Mexico,1938,$102.5 billion,$105.7 billion,$99.7 billion,$3.3 billion,$3.5 billion,$2.9 billion,Energy
Rimi Baltic,Latvia,1991,$3.5 billion,$3.6 billion,$3.5 billion,$0.4 billion,$0.4 billion,$0.4 billion,Retail
Latvijas Gāze,Latvia,1991,$1.6 billion,$1.7 billion,$1.6 billion,$0.2 billion,$0.2 billion,$0.2 billion,Energy
Dienas Bizness,Latvia,1992,$0.3 billion,$0.3 billion,$0.3 billion,$0.08 billion,$0.078 billion,$0.076 billion,Media
CME,Czech Republic,1991,$1.3 billion,$1.4 billion,$1.3 billion,$0.2 billion,$0.2 billion,$0.2 billion,Media
Skoda,Czech Republic,1895,$10.7 billion,$11.1 billion,$10.9 billion,$0.9 billion,$1.0 billion,$0.9 billion,Automotive
Cencosud,Chile,1957,$14.9 billion,$15.4 billion,$15.2 billion,$1.4 billion,$1.5 billion,$1.5 billion,Retail
CEZ Group,Czech Republic,1992,$11.5 billion,$11.8 billion,$11.7 billion,$1.3 billion,$1.4 billion,$1.4 billion,Energy
LAN Airlines,Chile,1929,$3.7 billion,$3.8 billion,$3.7 billion,$0.4 billion,$0.4 billion,$0.4 billion,Air Transportation
Fonterra,New Zealand,2001,$19.2 billion,$19.4 billion,$19.2 billion,$1.1 billion,$1.2 billion,$1.2 billion,Dairy
Air New Zealand,New Zealand,1940,$4.4 billion,$4.6 billion,$4.5 billion,$0.2 billion,$0.3 billion,$0.3 billion,Air Transportation
TelstraClear,New Zealand,1990,$1.1 billion,$1.1 billion,$1.1 billion,$0.1 billion,$0.1 billion,$0.1 billion,Telecommunications
Vector,New Zealand,1995,$2.2 billion,$2.3 billion,$2.3 billion,$0.2 billion,$0.2 billion,$0.2 billion,Energy
Carrefour,France,1959,$104.8 billion,$106.4 billion,$105.8 billion,$2.2 billion,$2.4 billion,$2.4 billion,Retail
Danone,France,1899,$27.4 billion,$27.8 billion,$27.7 billion,$2.4 billion,$2.4 billion,$2.4 billion,Food and Beverages
Pernod Ricard,France,1975,$9.6 billion,$9.9 billion,$9.9 billion,$1.3 billion,$1.4 billion,$1.4 billion,Alcoholic Beverages
Statoil,Norway,1972,$30.4 billion,$34.7 billion,$32.4 billion,$5.5 billion,$9.2 billion,$5.6 billion,Oil and Gas
Telenor,Norway,1855,$11.7 billion,$11.6 billion,$11.2 billion,$2.9 billion,$3.3 billion,$2.6 billion,Telecommunications
DNV GL,Norway,1864,$2.4 billion,$2.6 billion,$2.7 billion,$390 million,$450 million,$460 million,Consulting and Certification
Kongsberg,Norway,1814,$2.3 billion,$2.5 billion,$2.5 billion,$205 million,$230 million,$240 million,Defense and Aerospace
Yara,Norway,1905,$11.5 billion,$11.9 billion,$10.6 billion,$1.4 billion,$1.7 billion,$1.2 billion,Fertilizers and Industrial Chemicals
Elisa,Finland,1882,$2.46 billion,$2.54 billion,$2.55 billion,$344 million,$356 million,$365 million,Telecommunications
Nokia,Finland,1865,$23.27 billion,$23.22 billion,$22.45 billion,$2.91 billion,$2.73 billion,$1.79 billion,Telecommunications
Fortum,Finland,1998,$9.93 billion,$10.44 billion,$10.74 billion,$1.42 billion,$1.58 billion,$1.35 billion,Energy
Stora Enso,Finland,1998,$10.38 billion,$10.75 billion,$10.54 billion,$1.26 billion,$1.33 billion,$1.07 billion,"Paper, Packaging"
Reykjavik Energy,Iceland,1913,$957 million,$977 million,$1.02 billion,$73 million,$72 million,$89 million,Energy
Bombardier Inc.,Canada,1942,$15.91 billion,$16.42 billion,$16.03 billion,$-1.58 billion,$-1.39 billion,$-1.56 billion,Transportation
LinkedIn,United States,2002,$2.26 billion,$2.51 billion,$2.61 billion,$1.11 billion,$1.23 billion,$1.27 billion,Social Networking
GameStop,United States,1994,$9.56 billion,$9.32 billion,$6.47 billion,$665 million,$665 million,$417 million,Retail
PandaDoc,Belarus,2013,$29 million,$33 million,$40 million,$-9 million,$-7 million,$-6 million,Software
Wargaming,Belarus,1998,$1.39 billion,$1.50 billion,$1.54 billion,$406 million,$442 million,$451 million,Video Games
EPAM Systems,Belarus,1993,$2.47 billion,$2.74 billion,$2.92 billion,$296 million,$323 million,$341 million,IT Services
Starbucks,United States,1971,$24.72 billion,$26.50 billion,$26.47 billion,$3.24 billion,$3.24 billion,$3.24 billion,Coffee
J.M. Smucker Company,United States,1897,$7.46 billion,$7.51 billion,$7.30 billion,$664 million,$672 million,$634 million,"Coffee, Food and Beverage"
Dunkin' Brands Group,Inc.,United States,1950,$9.20 billion,$9.40 billion,$9.40 billion,$393 million,$413 million,$413 million
Peet's Coffee,United States,1966,$528 million,$560 million,$580 million,$45 million,$48 million,$50 million,Coffee
Keurig Dr Pepper,United States,1981,$11.59 billion,$11.70 billion,$11.70 billion,$1.24 billion,$1.27 billion,$1.27 billion,Coffee
Costa Coffee,United Kingdom,1971,$2.01 billion,$2.14 billion,$2.15 billion,$121 million,$133 million,$134 million,Coffee
Tim Horton's,Canada,1964,$4.08 billion,$4.15 billion,$4.15 billion,$823 million,$835 million,$835 million,"Coffee, Fast Food"
Caribou Coffee,United States,1992,$293 million,$300 million,$300 million,$24 million,$25 million,$25 million,Coffee
The Kraft Heinz Company,United States,2015,$26.27 billion,$25.54 billion,$24.52 billion,$1.77 billion,$1.60 billion,$1.40 billion,Food and Beverage
Louis Vuitton,France,1854,$16.24 billion,$16.91 billion,$16.91 billion,$3.53 billion,$3.68 billion,$3.68 billion,"Fashion, Luxury Goods"
Gucci,Italy,1921,$15.08 billion,$15.08 billion,$15.08 billion,$2.81 billion,$2.81 billion,$2.81 billion,"Fashion, Luxury Goods"
Prada,Italy,1913,$4.24 billion,$4.24 billion,$4.24 billion,$654 million,$654 million,$654 million,"Fashion, Luxury Goods"
Ralph Lauren,United States,1967,$7.44 billion,$7.44 billion,$7.44 billion,$850 million,$850 million,$850 million,Fashion
Tommy Hilfiger,United States,1985,$7.19 billion,$7.19 billion,$7.19 billion,$1.03 billion,$1.03 billion,$1.03 billion,Fashion
Calvin Klein,United States,1968,$9.61 billion,$9.61 billion,$9.61 billion,$1.38 billion,$1.38 billion,$1.38 billion,Fashion
Chanel,France,1909,$9.62 billion,$9.62 billion,$9.62 billion,$1.77 billion,$1.77 billion,$1.77 billion,"Fashion, Luxury Goods"
Giorgio Armani,Italy,1975,$2.34 billion,$2.34 billion,$2.34 billion,$362 million,$362 million,$362 million,"Fashion, Luxury Goods"
Christian Dior,France,1946,$12.11 billion,$12.11 billion,$12.11 billion,$2.04 billion,$2.04 billion,$2.04 billion,"Fashion, Luxury Goods"
Versace,Italy,1978,$1.19 billion,$1.19 billion,$1.19 billion,$207 million,$207 million,$207 million,"Fashion, Luxury Goods"
Hill's Pet Nutrition,United States,1939,$2.44 billion,$2.48 billion,$2.48 billion,$333 million,$336 million,$336 million,Pet
Purina,United States,1894,$14.78 billion,$14.78 billion,$14.78 billion,$2.34 billion,$2.34 billion,$2.34 billion,Pet
Royal Canin,France,1968,$2.67 billion,$2.67 billion,$2.67 billion,$405 million,$405 million,$405 million,Pet
Blue Buffalo,United States,2002,$1.02 billion,$1.02 billion,$1.02 billion,$150 million,$150 million,$150 million,Pet
Shiseido,Japan,1872,$7.36 billion,$7.36 billion,$7.36 billion,$531 million,$531 million,$531 million,Beauty
Kao Corporation,Japan,1887,$13.39 billion,$13.39 billion,$13.39 billion,$1.40 billion,$1.40 billion,$1.40 billion,"Beauty, Consumer Goods"
Singapore Telecommunications Limited (SingTel),Singapore,1879,$17.70 billion,$17.70 billion,$17.70 billion,$3.81 billion,$3.81 billion,$3.81 billion,Telecommunications
DBS Bank,Singapore,1968,$13.60 billion,$13.60 billion,$13.60 billion,$3.96 billion,$3.96 billion,$3.96 billion,Banking
United Overseas Bank (UOB),Singapore,1935,$11.10 billion,$11.10 billion,$11.10 billion,$3.34 billion,$3.34 billion,$3.34 billion,Banking
CapitaLand,Singapore,2000,$9.40 billion,$9.40 billion,$9.40 billion,$1.77 billion,$1.77 billion,$1.77 billion,Real Estate
Singapore Airlines,Singapore,1972,$17.20 billion,$17.20 billion,$17.20 billion,$1.40 billion,$1.40 billion,$1.40 billion,Airlines
Keppel Corporation,Singapore,1968,$7.50 billion,$7.50 billion,$7.50 billion,$596 million,$596 million,$596 million,"Engineering, Offshore and Marine"
SembCorp Industries,Singapore,1968,$9.80 billion,$9.80 billion,$9.80 billion,$1.13 billion,$1.13 billion,$1.13 billion,"Engineering, Offshore and Marine"
Singapore Press Holdings,Singapore,1845,$1.50 billion,$1.50 billion,$1.50 billion,$280 million,$280 million,$280 million,Media
